what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1271074974019
started,bundle,org.eclipse.osgi,3.6.0.v20100301,"org.eclipse.osgi",1271074974020
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100304,"org.eclipse.equinox.simpleconfigurator",1271074974021
started,bundle,com.ibm.icu,4.2.1.v20100212,"com.ibm.icu",1271074974021
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100301,"org.eclipse.core.contenttype",1271074974021
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100310-1300,"org.eclipse.core.databinding.observable",1271074974022
started,bundle,org.eclipse.core.expressions,3.4.200.v20100222,"org.eclipse.core.expressions",1271074974022
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100308-1800,"org.eclipse.core.filebuffers",1271074974022
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100304,"org.eclipse.core.filesystem",1271074974023
started,bundle,org.eclipse.core.jobs,3.5.0.v20100304,"org.eclipse.core.jobs",1271074974023
started,bundle,org.eclipse.core.net,1.2.100.I20091117-0800,"org.eclipse.core.net",1271074974024
started,bundle,org.eclipse.core.resources,3.6.0.v20100310-1650,"org.eclipse.core.resources",1271074974024
started,bundle,org.eclipse.core.runtime,3.6.0.v20091204,"org.eclipse.core.runtime",1271074974024
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1271074974025
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1271074974025
started,bundle,org.eclipse.ecf,3.1.0.v20100301-1516,"org.eclipse.ecf",1271074974026
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100301-1516,"org.eclipse.ecf.filetransfer",1271074974026
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100301-1516,"org.eclipse.ecf.identity",1271074974027
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100301-1516,"org.eclipse.ecf.provider.filetransfer",1271074974027
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100301-1516,"org.eclipse.ecf.provider.filetransfer.httpclient",1271074974028
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1271074974028
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1271074974029
started,bundle,org.eclipse.equinox.app,1.3.0.v20100304,"org.eclipse.equinox.app",1271074974029
started,bundle,org.eclipse.equinox.common,3.6.0.v20100222,"org.eclipse.equinox.common",1271074974029
started,bundle,org.eclipse.equinox.ds,1.2.0.v20100301,"org.eclipse.equinox.ds",1271074974030
started,bundle,org.eclipse.equinox.event,1.2.0.v20100108,"org.eclipse.equinox.event",1271074974030
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.100.v20100309-0005,"org.eclipse.equinox.p2.artifact.repository",1271074974031
started,bundle,org.eclipse.equinox.p2.core,2.0.0.v20100304,"org.eclipse.equinox.p2.core",1271074974031
started,bundle,org.eclipse.equinox.p2.director,2.0.0.v20100311-1335,"org.eclipse.equinox.p2.director",1271074974032
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.100.v20100309-0005,"org.eclipse.equinox.p2.directorywatcher",1271074974032
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100311-1335,"org.eclipse.equinox.p2.engine",1271074974032
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100309-0005,"org.eclipse.equinox.p2.extensionlocation",1271074974033
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100311-1843,"org.eclipse.equinox.p2.metadata",1271074974033
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100310-1731,"org.eclipse.equinox.p2.metadata.repository",1271074974034
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100309-0005,"org.eclipse.equinox.p2.operations",1271074974034
started,bundle,org.eclipse.equinox.p2.publisher,1.1.0.v20100310-1731,"org.eclipse.equinox.p2.publisher",1271074974035
started,bundle,org.eclipse.equinox.p2.ql,2.0.0.v20100310-1800,"org.eclipse.equinox.p2.ql",1271074974035
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100310-1731,"org.eclipse.equinox.p2.reconciler.dropins",1271074974036
started,bundle,org.eclipse.equinox.p2.repository,2.0.0.v20100310-1731,"org.eclipse.equinox.p2.repository",1271074974037
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.0.v20100312-1410,"org.eclipse.equinox.p2.touchpoint.eclipse",1271074974037
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100309-0005,"org.eclipse.equinox.p2.ui.sdk.scheduler",1271074974038
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.0.v20100309-0005,"org.eclipse.equinox.p2.updatechecker",1271074974039
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100307,"org.eclipse.equinox.preferences",1271074974039
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100301,"org.eclipse.equinox.registry",1271074974040
started,bundle,org.eclipse.equinox.security,1.0.200.v20100301,"org.eclipse.equinox.security",1271074974040
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1271074974041
started,bundle,org.eclipse.help,3.5.0.v20100304,"org.eclipse.help",1271074974041
started,bundle,org.eclipse.jdt.core,3.6.0.v_A39,"org.eclipse.jdt.core",1271074974042
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100308-1800,"org.eclipse.jdt.core.manipulation",1271074974042
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui",1271074974044
started,bundle,org.eclipse.jface,3.6.0.I20100305-0800,"org.eclipse.jface",1271074974044
started,bundle,org.eclipse.jsch.core,1.1.100.I20100112-0800,"org.eclipse.jsch.core",1271074974045
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.bugzilla.core",1271074974045
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.bugzilla.ui",1271074974046
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1271074974046
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.commons.ui",1271074974046
started,bundle,org.eclipse.mylyn.context.core,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.context.core",1271074974047
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.context.ui",1271074974047
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.monitor.ui",1271074974048
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.tasks.ui",1271074974048
