what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271075330786
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271075330829
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271075332272
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100201,"org.eclipse.ui.externaltools",1271075336582
activated,view,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui.PackageExplorer",1271075469921
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271075480497
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271075480593
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271075590296
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271075590297
activated,view,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui.PackageExplorer",1271075591240
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271075591446
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271075591540
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271077484788
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271078396654
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271078397355
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271078401035
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271078403347
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271080565227
